season,episode,title,imdb_id,total_votes,unweighted_mean,hist10_pct,hist10_votes,hist9_pct,hist9_votes,hist8_pct,hist8_votes,hist7_pct,hist7_votes,hist6_pct,hist6_votes,hist5_pct,hist5_votes,hist4_pct,hist4_votes,hist3_pct,hist3_votes,hist2_pct,hist2_votes,hist1_pct,hist1_votes
8,3,Stuck in a mammal groove,tt8047810,217,7.8,18.9,41,8.3,18,36.4,79,24.0,52,6.0,13,2.3,5,0.9,2,1.4,3,0.5,1,1.4,3
8,4,The barrel dad,tt10385360,218,8.0,20.6,45,14.7,32,32.6,71,21.1,46,5.5,12,3.2,7,0.0,0,0.9,2,0.0,0,1.4,3
8,5,Stay humble,tt10385362,211,7.9,20.4,43,9.5,20,31.8,67,26.5,56,7.6,16,0.9,2,0.5,1,0.9,2,0.9,2,0.9,2
8,6,Rock ‘n’ roll umlaut,tt10385364,206,8.0,20.9,43,8.3,17,36.9,76,25.2,52,5.3,11,0.5,1,1.0,2,1.0,2,0.0,0,1.0,2
8,7,This is Trevor,tt8047818,204,8.0,21.1,43,10.8,22,32.8,67,26.5,54,4.9,10,0.5,1,1.5,3,1.0,2,0.0,0,1.0,2
8,8,Aquatic sewing machine,tt8047822,210,8.2,23.8,50,13.3,28,35.7,75,19.5,41,3.3,7,2.9,6,0.5,1,0.0,0,0.0,0,1.0,2
8,9,I’ve been a bit ill,tt8047824,201,8.0,21.4,43,10.9,22,36.8,74,20.9,42,5.5,11,2.0,4,1.0,2,0.0,0,0.5,1,1.0,2
8,10,Clumpy swayey clumsy man,tt8047826,212,8.3,25.5,54,19.3,41,29.2,62,17.5,37,3.8,8,2.8,6,0.9,2,0.0,0,0.0,0,0.9,2
9,1,Join Our Cult,tt10382866,228,8.0,21.5,49,13.2,30,33.8,77,23.7,54,3.5,8,1.8,4,0.0,0,0.9,2,0.4,1,1.3,3
9,2,Butter in the Microwave,tt10382868,230,8.4,32.2,74,17.4,40,30.4,70,13.9,32,1.3,3,0.9,2,1.3,3,0.9,2,0.0,0,1.7,4
9,3,A Cuddle,tt10382874,213,8.0,20.2,43,14.1,30,33.8,72,23.0,49,2.8,6,3.3,7,0.9,2,0.0,0,0.5,1,1.4,3
9,4,The Barrel Dad,tt8047812,211,8.3,27.5,58,13.7,29,34.1,72,18.5,39,2.4,5,0.9,2,0.5,1,0.5,1,0.0,0,1.9,4
9,5,Stay Humble,tt8047816,207,8.1,24.6,51,10.6,22,38.6,80,17.4,36,4.8,10,1.0,2,0.5,1,1.0,2,0.0,0,1.4,3
9,6,Rock 'n' Roll Umlaut,tt8047820,203,8.0,20.2,41,10.8,22,35.0,71,24.6,50,4.9,10,2.0,4,0.0,0,0.5,1,0.5,1,1.5,3
9,7,This is Trevor,tt10382878,200,8.1,24.0,48,10.5,21,33.0,66,26.0,52,3.0,6,0.5,1,1.0,2,0.0,0,0.5,1,1.5,3
9,8,Aquatic Sewing Machine,tt10382880,199,8.1,24.1,48,11.6,23,35.7,71,22.1,44,4.0,8,0.0,0,0.0,0,0.5,1,0.5,1,1.5,3
9,9,I've Been a Bit Ill,tt10383296,200,8.3,27.5,55,15.5,31,35.0,70,15.0,30,3.0,6,0.0,0,2.0,4,0.5,1,0.0,0,1.5,3
9,10,Clumpy Swayey Clumsy Man,tt10457130,202,8.4,32.2,65,20.3,41,25.2,51,15.3,31,2.5,5,2.0,4,0.5,1,0.0,0,0.5,1,1.5,3
10,1,God’s haemorrhoid,tt8046986,260,7.7,22.7,59,9.2,24,30.8,80,21.9,57,5.4,14,2.7,7,1.9,5,1.9,5,1.5,4,1.9,5
10,2,A documentary about a despot,tt8047830,232,7.6,20.3,47,7.8,18,27.2,63,28.4,66,6.0,14,3.0,7,3.0,7,0.4,1,1.3,3,2.6,6
10,4,Toshwash,tt8047832,218,7.6,19.3,42,10.1,22,27.1,59,26.1,57,6.4,14,4.6,10,1.8,4,0.5,1,1.4,3,2.8,6
10,5,I hate your trainers,tt8047836,216,7.7,24.1,52,10.2,22,25.0,54,23.1,50,4.6,10,4.6,10,2.8,6,0.9,2,1.4,3,3.2,7
10,6,Hippopotamus,tt8047838,209,7.8,22.5,47,11.5,24,30.6,64,22.5,47,4.8,10,1.9,4,2.4,5,0.5,1,0.5,1,2.9,6
10,8,Moments of silence,tt8047842,199,7.5,21.1,42,7.0,14,25.6,51,27.1,54,8.0,16,3.0,6,3.5,7,1.0,2,1.0,2,2.5,5
10,9,Air Horn Andy,tt8047848,184,7.7,21.2,39,9.8,18,30.4,56,23.4,43,6.0,11,2.7,5,1.1,2,0.5,1,1.6,3,3.3,6
10,10,Dog meat trifle,tt8047850,191,7.8,20.9,40,13.6,26,29.3,56,21.5,41,7.3,14,1.0,2,2.6,5,0.5,1,0.5,1,2.6,5
11,1,It’s not your fault,tt13667104,243,8.2,23.5,57,17.3,42,27.6,67,23.5,57,5.8,14,0.8,2,0.4,1,0.0,0,1.2,3,0.0,0
11,2,The lure of the treacle puppies,tt13667110,224,8.3,25.4,57,19.6,44,25.0,56,23.2,52,4.5,10,1.3,3,0.0,0,0.0,0,0.9,2,0.0,0
11,3,Run up a tree to the moon,tt13667132,223,7.9,20.2,45,12.1,27,26.0,58,30.0,67,5.8,13,2.2,5,1.8,4,0.9,2,0.4,1,0.4,1
